clean_text,label_id
ktir ðÿ,0
aslan ente el lebneniye l asliye akkar w bءaع w jnoub w beirut w ana nafse li wadaytelik inbox mberh عal fb,2
ya alla chou helwe rihit l ifoss bl chatwiye,2
house logic be like hayda el chaخes chaklo merteح bel nawme خallina nbalich ndoj w nezeعjo حatta yfiء,0
ana chou khasneh ma bhayeteh hekiya heheheh,1
hayda lebanon kel shi fee magic,2
aw enn l ahla men hek hay li btelbesle crop top b noss din l saءعa w l talej w bteءعad tneء msaءعaaa ya alla ktir saءعaa nءebre lbese,0
the two goals ma keno goals so ma tombosto ktir,0
"Yeah, yeah, okay, okay, okay, okay, okay, okay, okay, okay, okay, okay, okay, okay, okay.",1
hayda ghadab allah عala l عalam teta is that you,0
pao ktir bhebbik,2
hahahaha awiye ktir,2
layko fi saءعa aw laء,1
eza btekhde soura w mkhabeye wejjek bi telephonek w hada allek pretty عam yedahak عalayke,0
khide headache l dawa chou ismo panadol,1
bas ana mabsouta fiyoun hatta hashtag fashion paris w stylish w medreh chou lol,2
chou awe tevez,2
because muscle cars fyon ktir ahsne,1
chou oseta teحdidan,1
shwf undda hala,1
hayda el weءeع shou baعmol,1
hayda jamel lebnen ajmal nesaa elard,2
scotland bada tعmel vote l khamiss la tenfessil عan l uk,1
hiyye lebse sharعe hatta mataعmil fik shi am toliع l عakes helo wallah,1
at the end its a matter of taste ana natarit shi ktir kbir saraha baddo ktir baعid zakkarni b super star 1,1
ayre ktir ءasarit fiye hal kahbriye,0
aw bas bedak tethamam,1
hayde sia leh sawta ktir byechbah rihanna,1
ktir helo w jagal w hek she s one of my fans,2
eza maktoub undo retweet yaعne ente عamle retweet abel waءta tekebse chou byejike,1
mabeddi edross badi thawra ðÿ ðÿ ðÿ ðÿ,0
1 P-3 1 P-3 1 P-3 1 P-3 1 P-3 1 P-3 1 P-3 1 P-3,1
no one knows fee ktir feraء عam betnefes عal laءab,1
ktir bhebak ana teb,2
chou naءsak,1
laء wlo helo ykoun min lebnen haram truh l zine li عal torءat diعan,0
hayda bi zabto gebran deghre hayne ostoðÿ ðÿ,1
aribe ktir,1
ana live men l balcon ðÿ,2
byelbaءlek ktir chou ma bteعmli helou عlayi,2
meche koukiii,2
mercii ktir ena حa testsdife l queen lea makhoul w natrinkon,2
ha bentik bel soura fakarta rejjel,1
Episode Episode Episode Episode Episode Episode Episode Episode Episode Episode Episode Episode Episode Episode Episode Episode Episode Episode Episode Episode,1
yeah eh w chou عarafoun l masءouline enno bada tchatte,1
me toooooo ktir fakhame w hek hamdila ma jebt el dvds aw besءot hal sene p,2
b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b b,1
عal keno ahla,0
hahahhahha hayde ktir bteحkeðÿ ðÿ,0
chou ha yaعtouwoun lءiraniyeh ka hdiyeh ramziyehhh bel tabedoul ana bءoul sejedeh عajamiyeh,1
chaklo sayer chi ma mnihh la hek sektin kelkom,0
lalalala mafعoul l teءdim hayda lalalalalala ana lalalala nعadet menik xp lalalalala,2
You're married. What a bshil.,1
"Hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, he",1
bukra nezle beirut w ahle عam b hasesune i m going to war,0
chou gaelle ma chtaءtile lama kenet عasbik bl saff,1
hayde meعde ha hayda kiss nailon,0
brother chou fi chi غalat me wjoudak b hayete ðÿ ðÿ ðÿ ½â â ï,1
maع batata w toum,2
iniesta chou hal laعibbb,2
aslan sourtik ktir helweh wejjik ktirr heloooo p bas mich mbayan bas helo wejjik p bas mich cheyfo bas helo wejik wayno,2
Date of birth (AA),1
# # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # #,1
rah yghayro shi had shereع bank du liban,1
anyone عndo mouse ma btaعmel sot abadan,1
men wen toliع haydaðÿ,0
eh laeno l darak عana ktir awedim,0
miaaa ana bhbik ktir,2
ouff man mabrouk chou mfakkar techtere fiyoun,2
A from 1 from 1 to 1 from 1 from 1 1 1 from 1 1 1 from 1 1 1 from 1 1 1 from 1 1 1 from 1 1 1 from 1 1 from 1 1 1 from 1 1 from 1 1 1 from 1 from 1 1 1 1 from 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,1
ana ktir mabsoutaع333 darast bio w chimie,2
shu bحbk ya beirut,2
ktir byechbaho baعd kaءanon tom,2
Peirot / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / /,1
II. WHAT HE PAYS FOR OR LEAST,1
(a),1
dakhlak hezballah chou bteعtebera milichia aw chou,0
akh ya albe,0
"Hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, he",1
mbaaalaaaaaaع333 عande ktir sowar elek,2
twaffet jaretna men seعten,0
King.,1
lk badi aعref li حeko عa set najwa laءna حata salib raحo حesabo w rejعo w tolعo mn ahel l jani lk feye aعref chou hayda takhalof allah waحad,0
hahaha keno kellon خateyra keno عm yءoulo chou mءaعedon maعna hole p,2
some girls be like hallaء eza خosro germany hayda el match byerjaعo argentina byeخdo el world cup,1
lech w chou sabab maعam thetou gheniyet mabtesءalch عalaye li ghanetha kenza laءan mbayna ghada rah yafءaع ءalba men lghir,0
ansar w liverpool عlaye ktir halءad,0
ktr helo ma maعءul sawto kn rء3,2
"I swear, I swear, I swear, I swear, I swear, I swear, I swear, I swear, I swear, I swear, I swear, I swear, I swear, I swear, I swear, I swear, I swear, I swear, I swear, I swear, I swear, I swear, I swear, I swear, I swear, I swear, I swear, I swear, I swear, I swear, I swear, I swear, I swear, I swear, I swear, I swear, I swear, I swear, I swear, I swear, I swear, I swear, I",1
baaref,1
The First First First First First First First First First First First First First First First First First First First First First First First First First First First First First First First First First First First First First First First First First First First First First First First First First First First First First First First First First First First First First First First First First First First First First First First First First First First First First First First First First First First First First First First First First First First First First First First First First First First First First First First First First First First First First First First First First First First First First First First First First First First First First First,1
thanks bab l helo b shouf kel shi helo,2
fi ktir ktir,1
C ch cho cho katib plan,1
"In the end, the bait issue is Ana naanataterit shi ktir kbir saraha faddo ktir ktir barbassid zakkarni b superstar 1",1
heida l post ma njeb siret gebran bassil fi njeb fi khabar عan walid junblat wosel l message nb rfiءte w حa tdalla rfiءte bi حal hadan chef l posts,2
toleع ma bi hebne,0
hek,1
shou hal costume l helo bas,2
lah lah lahhh chou sayirrr bi souria,0
inno hayda huwe el islem,1
tjarreb torde عammak,1
(k) (k) (k) (k) (k) (k) (k) (k) (k) (k) (k),1
urgent shab عam yenzof bel mعounet bi jbeil w bado a daroure esmo nader matta w hayda raءem bayo 71375399 el shab wahid please help,0
w er p,0
w ente w tabaعik rah tejo maعna chou p,1
ana men halaء la tosءot lhoukoume kella w tokhlas l thawra ma rah otlaa aal autostrade,0
eno eh fenene sawta helo bas mesh bhebba bmout fya w fan w medre aysh,1
hayda el interview li maع imad hawari عa arabica lama kenit bi mahrajen dbayye,1
ouf shu hayda,1
ma hada rah yeءdar yradine men hal aعal w el aher li ana fi,0
chou ralphh khalaset dares lal final,1
chou raءykoun naعmoul lyom trend عa seعa غpm time lebanon abeil ma tbalich l interview ta nachit l hashtag,1
Understand ktir ellik,1
quarantine mch nafsell chi la kell el عial,0
(aa) War war war war war war war war war war war war war war war war war war war war war war war war war war war war war war war war war war war war war war war war war war war war war war war war war war war war war war war war war war war war war war war war war war war war war war war war war war war war war war war war war war war war war war war war war war war war war war war war war war war war war war war war war war war war war war war war war war war war war war war war war war war,1
girls be like bhebo bs mch mabsouta maعo laءano ma عm hebo metel ma ana bede w houwe ktir mrayahne bs ana mch merteha laءan ma bhebo,1
ma tezaalo bas hada ghayre mesh eder yesmaa sot ariana baءa besmaa sawta aktar men sot emme w emme ktir bet neء,0
plz plz gebran خalik mtebeع lmawdoع ma baء badna phalesteneye wsoreyen عena el mawjoden bykafo,0
The guy fi fin a date b riad l leh,1
chou esem el game,1
hada ghayre ma bi hebb hayeto,0
ajmal chi fiye w bchkur rabbe عley enne albe tayib w dymn bhke lsaraحa w ktir عafawiye w manne abdn laءime w nejse w mabعrif asln etlءman wala kazib,2
wliii hayda twitter msh insta,0
awww chou cutee law kenet bi lebnen kenet عmeltellak hek,2
ktir عam bekoul lol seeet ekil 7 waءعat lol now talabet berger,0
# # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # #,1
saح7 bwefeء agree,2
weer hayda tabaع mbereh,0
chou ossit l taouk w rayya l hassan,1
tsk عayb,1
aslan hayda l shaytan li sharreke yeh laءan amerkene,0
la la laa ya hollandiee chou عam taعemloo layleee,0
charlie sheen ktir awe charlie sheen ktiirr ktiir awe bi two and a half men,2
baعed wala marra chefto b men ahla byut ras beirut,1
eno ehh ma ktir,1
brazil rah terbah barke,1
"I've already loaned my hard drive, LALSALALM KAM.",1
woselik saleme aw nesyetne ðÿ knt ktir habe enzal bs ma edrt chefte el school chu btaعmulðÿ,0
autostrade trablos aw bas bi jounieh jbeil bel leil chi 3 lsobeh beirut mech عatoul btozbat,1
minam bi poreed tizo cou nelik mapt p,1
chou ossit l pirate kings,1
l thawra dod hal tefkeer sadiءe bas maعle ma beعtab,1
nzlo عa beirut,1
hayda al haki al sah,2
hyt l helo bjr ya albeeeee kifak lyom loveee u,2
liverpool dabeح,2
ma fi ykoun jamelik halءad helo la anno bkhaf ma yeعla lsekareh maعeh beykha,2
chou lal chabaع el infijaret,0
aa fekra am etعlam lraءes fa ma aande mshkle ser ءorءoe maake w hek,1
(a) To be considered,1
btaaerfo adde l maths helo waءta tkouno aam tefhamo shu aam teketbo w hek,2
mertadde,0
On en shofi sho endabel Comment ta Qabt btafrfe leh kateb hikuk,1
hahaha min allak bade mout p ma ykoun l akel msammam wlak saححa w hana عaءalbak,2
abalneh li ken chaklo helo bel selfie,2
chou ya man,1
mch hk ya simon bas عanjad he chab becheع kif b oulo عanno حelo,0
yimkin عreft عa min عam tehke w fajaret zet l chi p,1
ya عadraa kif bado yeءtaع hal semester ktir stress kel el waءet,0
le chou be l gym,1
ok ma smeعet l lyrics ktir bas aam behke production wise i like it,2
bas betعaءeeed keneeet betmaweeeeet amp kteeeeeeeeer dalouعa ino niحns bi عaser soura mesh bi عasr sout,2
chou ketib laءan عemele block,1
baعed fi diعayet ktir ktir ktir binaddif perlex ma عedtouwa mit marra,0
habbet kif byeءtlo,0
hayda fehmen el snapchat ghalatðÿ,0
chou bi oulo la chakhess khoser ebno,0
ءreft l akel ya zalame ad ma akalt lyom,0
(Chaklack mabsout un ktir p,1
ya sadiءe akid ana maعak bi kel chi w beحterim ktir raءyak w kelna ka chabeb weءfit bs maع lebnen bs ya عazizi fi chaghle msh mafhoume mn waءet ma stalam riءasit hezeb lkataeb w staءelo mnel houkoume weءfo bl mouعarada w عemlo kel chi bytlaع bi idon w hekyo w faعalo,1
ana zeعlen menkon kelkon,0
mbala btefrouء ktir ya bro,1
leh lءaswat helwe ktir llayle,2
haraaaammmm ktir zghir hal عasfour,0
wosleeeeeeeeeeet tekno seyeseye mءasame sene sheعe maseحe yaaane kaءano ma sar thawra,0
ma badde osءotttt,0
noo ma ktir,1
kel waحad ykhaberneh chou lghada ken,1
kello mlabbak ðÿ,0
knt ktir yenzal dam rehet al hospital w kouwyou sarle shi 3 years wala shi,2
lezim eshab loto lyom haze ktirr helo,2
I. INTRODUCTION 1 - 3 1 - 3 1 - 3 1 - 1 1 - 1 1 - 1 1 - 1 1 - 1 1 - 1 1 - 1 1 - 1 1 1 - 1 1,1
baعdu sarءlik soura,1
kel shi bwaءto helo ok,1
albe ma byehmol baءa aktar men hek,0
bade hada ydafine ktir bared,0
w ana ma beءdar tarjim hek soura,1
lehhhh ktir meshweye o,0
eh fi ktir hek,1
Kil beirut akid,1
ktir talعa mahdume bi عeshk l nisaء,2
ya harammðÿ ðÿ,0
chtaet odhar w rouh w eje enooo عish,0
Desperate shortness.,1
laء w hasamuwa enno man city will win عandon halit denial enno liverpool yerbaحo anything,1
chou yaعne ac w kif byestaعmlou,1
hahaha badde عalmik kelme jdide عallamne yeha lol,2
chou ya helwehhh,2
/ / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / /,1
hallaء yemkin hayda hake byeshbah chway program bassem youssef mesh mhem el mhem eno el program men awwal halءa nejih great job all,2
lily chou ha taعemle men baعed ma tetkharaje nem,0
bt fidne bt fidne,2
masroufik la hl week,1
la taعlik ahsan ma etعalaء,1
houwe mafroud hek bas ente w nezle عa beirut min el jabal byeje lon el غyoum aءrab la daخne ðÿ,1
to chou ya kbirna,1
(a) Men (a) (a) (a) (a) (a) (a) (a) (a) (a) (a) (a) (a) (a) (a) (a) (a) (a) (a) (a) (a) (a) (a) (a) (a) (a) (a) (a) (a) (a) (a) (a) (a) (a) (a) (a) (a) (a) (a) (a) (a) (a),1
amaising law ktr helo awal halءa ktr helwe raح dal eحdaro lt 3,2
حayete kezbe ma tخalline erjaع ballish beke,0
ehhhhhhhhh ma heikkkkk chou ha tetsalehhh bi chaعratik mahroutin عal saءef bel jeux de lumiere,0
eh eh ahla sahraaa,2
# # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # #,1
chou عam taعemleh,1
helo kteer kteer kteer,2
shft ness bttعab kaza sene la tsir doc w hayda la ann sham riحit awal sene medecine sar doc,0
عm yetmaskharr hayda maعna ruءe p,1
ana kel l li baarfo eno jounieh jbeil ma hada bi arreb sawbon beirut noss noss,1
nsit tءoul eno sawta baado helo w عam b sir aحla w aحla,2
nshala tkoun salat maءboule ya rab kalemek ktir helo ramroummmm rab yesmaع menek ynawerlna عaءelna w عaءel lعalam,2
I want to ruin everything I want to do.,1
hdare maعna safar barlik ktiir helo my parents 10 minutes later ana feyte dob oudte,1
taعa la hebak chweh ktir,2
عazeb hal semester عazeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeb,0
Lamia's Domin's article for Qaladis maus nidal bl magazine,1
(a) Voting on a (a) basis,1
ya حabibet albe ente natrin nehna عa nar el song yey chou mحammaseeee bحebbikkk,2
byekhlaء men el chabah settin,1
bro neحna bisexuals chou fiya,0
fahhachet men baعd fahes el math what the hell chou yaعne cosinus w sinusss,0
"Two, two, two, two, two, two, two, two.",1
Men: men: men: men:,1
(a) (a) (a) (a) (a) (a) (a) (a) (a) (a) (a) (a) (a) (a) (a) (a) (a) (a) (a) (a) (a) (a) (a)),1
ma عnde wala soura zabta maع ekhte,0
chou feyte,1
(Burra byetlatlaponto cho cao arra,1
alah ykhalike w gd morning w nchala ykoun nharik helo,2
1 P-3 1 P-3 1 P-2 1 P-3 1 P-3 1 P-3 1 P-3 1 P-3 1 P-3,1
toz عleik ðÿ œ,0
kiff kell wahad sar ynazel soura la dayعto maع my village last night w henne bel 10 snin byotlaعo marra,0
greatt day eh great hahaha eno gher el akel c etait bien hahahaha,2
shou lezim aعmol bi daynte el chmel eza ktir aam besmaع daءet albe hessa fi shi bi alba w ma aam yotlaع,0
halaء خedlak عa akel b hal عid,2
"After doing so, after doing so, after doing so, after doing so, after doing so, after doing so, after doing so, after doing so, after doing so, after doing so, after doing so, after doing so, after doing so, after doing so, after doing so, after doing so, after doing so, after doing so, after doing so.",1
oh fi ahla b germany,2
kif wel qadaء menchara w kif yalli عam b taleb bl mouhesabe houwe l fesed baعdein fi ktir ness bala chegel chou btaعmol bteءعod btetfarajjjjj,0
w hayda dictionary nabche fi eza beddik,1
2 GS (OL),1
khaye mar chabel ma hada ba arreb عlei chou fehem,0
wow mn esmo mbayan helo p wen,2
sahh l nom,1
4 15 7 20 home sweet home bi ءoulo tjanabo lebnen lech fi aحla men lebnen,0
sociologic w physic w maths w helo hal sabah,0
"Last summer, Kent, Walla Mara, and Sama.",1
ma law btetfadal عalyna w btehjouz w bteje b hal shaher bkoun shi ktir helo,0
allah yeحmik men عndo,1
helo ketirðÿ,0
haha missat u 2 aa sret peirut blset db bb at 1 stand chegelle ma ah e,1
you are moree than amazinggggg eحsessik bl ghinniye akhdne la denye tenye 3,2
ma khas l history b hek p ma tkun metl liverpool fans p,0
mnontor la hadid october,1
aloushii عyunak el helwen beshufu kel she helo,2
chris sho toliع oset hayda el sout bomb or what,1
sabaح l anwar chtaءna ktir ya حabeyib nawartiiiii,2
sho helo l zhء p p,0
chou عende,1
ktir aabele aamel tattoo arzet lebnen elle bl aalam bs bala the white and red,1
nshala tءtع عa kheir,0
I don't know what you're talking about.,1
Yi conta,1
very good ktir helo,2
ma عena ersel ya rima beyrouth gemeyze alla maعik ma smeعtik wala lsala ma baعref eza men عendkon or lradio,0
"He sacrificed a shaking, shaking, shaking, shaking...",1
lil asaf baaed fi nes lehءa zaعima,0
beit wared sakar wa حayeftaحo maحalo turkish restaurant mehmet metl nusret so prepare yourself lal jalaءan baعd km shahr,0
yes wallah hderto kelo ðÿ,1
eh eh ktir حabbeit fye aعmel retweet p,2
hahahahahahhahahahahahahhahha wlak chou khasneh anaaaa entehhhh عam tءelile ken raح yejeh lol,2
niyell el nes eli hodruk el layle w semعo sawtak el helo akid wallaعta yeslamle albak bhebbak,2
# # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # #,1
hada metle ma byonboset bas ychouf refءat elk madrase,0
ana bheb rabiع chloe bterءus helo bass ma btiءa,1
عan jadd chou alabte 90 daraje,0
S.S.S.S.S.,1
chou yaعneh zawrwtik,1
okhti msafra w haعmel haflaaa,2
raحet el solta el tanfiziyi halaء fi el tashriعiyi wel jomhouriyi ya byetnezalo w byعmlonyali el thawra beda yeh ya ءama mafi rest la yeghraء lebnenðÿ,0
عanjad hayda she ilwaحed le ma عam baعref حebo ðÿ ˆ bonjourek have a nice day ðÿ,0
(laughter),1
عanjad chi byefءos enak tkoun daraset daraset yءajlo el fahes rah kel chi diعan,0
el diet mءassir عlek ktir ya حasoon,2
bonjour حada حas b lebnen,1
ya reit ya isteiz sabah mazeil bihimak baladak we ziعlein عa wleid baladak trakiz chouway ktir عala moumasilin baladak ma tizعal minni hadortak mءasar ktir maع el chabeib bi libnein libnein mich bas baneit hilwi ta touءaf حad moumasil souri,0
walla ana chakhsiyan ktir fakhoura bi baladiyit beyrouth maddidoula,2
waw amaising ktr helo habeyto ktr,2
eza badek walla bji mnn l bءaع عal beirut lعndk halaء w bhtam fiki,2
(Thousands of United States dollars) (Thousands of United States dollars),1
lk ana bحebou حazzi ktir allah ykhalili yeh ya rab tabعan lama tred عlayi nanouj hhhhhhhh,2
Modify the punch.,1
akiiid,2
wlak yeslam timmak عala hal حakki ktir saar fi bala sharaf,0
ana kenet 9 bas laءanu fi faute d orthographe ktir shelet 1,0
ktir khayfe chouf عalemte,0
ya allah عan jad ktir chtaءtellliiikkkk,2
barke lezim nehdar charlie s angels barke abel ma yenzal hayda just sayin,1
looooool ktir helo bas enteh ahlaaa yoءbroneh modelik chou helweh,2
msh masmouh ade fi saءعa,0
bede hayde l pizza li bel deعaye,2
hahahaha eh wallah,2
sabaح lخer wlsalem beirut,2
Chwall ch ch chia stemiliti bas lapent man,1
chou bet hebbe halik,0
wعit عnde kerech,1
hahahha ana tabaعe gharibee ma fi ktir عemlin menna,2
btestehal ktir helwe ya omme,2
tab عanjad halaء ma hassin wadeع l balad zbele w rayheen aa mahal ktir majhool cause kellu aleعib,0
orthodentist please ma ktir tnikile temme i wanna enjoy china box liom,0
fi rihet hariء bel beit bas عeref men wen jeye,0
ءahdam chi lea welie ءekhdine dor jader yeaner ktir majdoumine,2
sheyef el chabah moukhif kaءina hye w hssein el deik twins ðÿ ðÿ ðÿ â â ï,0
chtaءnelek ktir,2
awlkon byaarfo shou yaane حكومة تصريف أعمال bshekk bl mawdouع,0
bhes hale ktir habile lama ءeءra shi bel french w ma efham wala kelme,0
allah lech hek khalaءne,0
chou nawarrr,0
/ / / / /,1
# # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # #,1
chouuu kiff hekkk,0
"To fight, to know, to know, or to know what is most of it.",1
nadia bsat gher ossaaaaaa chou baddik betعaءidddddddddd,2
What's protected...,1
hayda l jant ana mءakad jareb dallak tedahak w tkoun mabsout ad ma fik fik tsoh 10 asraع eza kent mabsout mahal zeعlen,2
ana w ktir men ness aal tweeps,2
6 snin rouحe عmele حakime chou ela عaze حayawenet,0
kif fine edros,0
chou ma fiya tjaddid,1
awlkon rah osءot fahes el tarbiya bokra,0
chou king,2
# # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # #,1
"I'm sorry, I'm sorry, I'm sorry, I'm sorry.",1
Men. Men. Men.,1
ehh laءan jessma mish helo,0
eno عa chwei rah oum edros,1
ktir mshshshww,1
choi hayda mahal chou,1
btaعerfo chou ahla chi eno mom bs touعa bteje bet sakkir beb l ouda w btaعmoul hoover aw hayala chi,0
ktir habbet kif bi aldoo btetzakkare,2
no hlء bءulo bحbik metel el marحaba lحob sar bayekh ktir,0
عande cheghel lal 2 so ma baعref eza meherze etlaع from beirut at ءpm,1
anno mn bab lab anbbs ktir lal 6,1
eh walla la nedhak w nesmaع l sot l helo wl ebdeع can t wait for tmw,2
ktir sexy ente,2
kif bet oulo la hada btariءa mhazabe eno sar hake ktir la daraje tawashne,0
arrab shbat,1
baby shou belbous lyom عal sahra pantalon bss shob ktir tannoura betbayyene nasha pantalon ma bestahkim orءous tanoura,1
mtv woslet hallaء عal ring,1
ok khalas leعeb la lyom,1
bas ousal عal beit rah ekela bahdale men ahle ela awwal ma ela ekher dعoule,0
mnshaded عl lu ktir,1
jalloul jeble username nasser ibrahim hayda mع l milan hallllllllaء p,2
حobii,2
"♪ ♪ ♪ Hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, he",1
neteyej beirut nezloooo jnoubbb wen,1
metradede eza benzal entekheb aw rah yaعrfo eno ma ntakhabton barke ezyoune,0
I don't know what you're talking about.,1
la abdon not his job to steal people s properties and make it his not even for the government w ana sarah bebke bas emshe b shawereع beirut he completely changed the city s identity and history hay baعed ma fetna b meliyit el dawle li nahaba alla yghaneءlo,0
hallaء diعaye ma bibayyin chou raءem l izeعa,1
5 days of 5 days.,1
/ / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / / /,1
ya aame anjad baarf eno sawte mezعej w mesh helo w metl lmعzeye bas ana rayح aal hafle la enbost w sareخ w غani maعa mesh ta ءعod khalass tsayحosh aalye,0
kel shi bi waءto helo pamm p,1
ktir hek porto s gk ktir,2
"The Zen men, the men, have been so far... so far... it's been forbidden.",1
yeخreb عaءlik chou lebeءliiik,2
yY,1
# # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # # #,1
kamliiii ktir sayir helo,2
bthoto sharet hatta akhuna gebran bassil bs yesmaa hela hela sar ykafiya la wahdo ùšù ø _ù ùšù ø _ù ùšù ø _ù ùšù ø _ù ùˆ,1
